gameDate,visitorsTeam,visitorsTeamPoints,homeTeam,homeTeamPoints
2022-01-28,Chicago Bulls,122,San Antonio Spurs,131
2022-01-28,Minnesota Timberwolves,124,Phoenix Suns,134
2022-01-28,New York Knicks,108,Milwaukee Bucks,123
2022-01-29,Indiana Pacers,105,Dallas Mavericks,132
2022-01-29,Boston Celtics,107,New Orleans Pelicans,97
2022-01-29,Sacramento Kings,101,Philadelphia 76ers,103
2022-01-29,Washington Wizards,95,Memphis Grizzlies,115
2022-01-29,Toronto Raptors,124,Miami Heat,120
2022-01-29,Brooklyn Nets,106,Golden State Warriors,110
2022-01-30,Los Angeles Lakers,121,Atlanta Hawks,129
2022-01-30,Los Angeles Clippers,115,Charlotte Hornets,90
2022-01-30,Portland Trail Blazers,116,Chicago Bulls,130
2022-01-30,Cleveland Cavaliers,105,Detroit Pistons,115
2022-01-30,Denver Nuggets,136,Milwaukee Bucks,100
2022-01-30,Dallas Mavericks,108,Orlando Magic,110
2022-01-30,Utah Jazz,106,Minnesota Timberwolves,126
2022-01-30,San Antonio Spurs,110,Phoenix Suns,115
2022-01-31,New Orleans Pelicans,90,Cleveland Cavaliers,93
2022-01-31,Los Angeles Clippers,116,Indiana Pacers,122
2022-01-31,Memphis Grizzlies,119,Philadelphia 76ers,122
2022-01-31,Toronto Raptors,106,Atlanta Hawks,100
2022-01-31,Miami Heat,92,Boston Celtics,122
2022-01-31,Sacramento Kings,96,New York Knicks,116
2022-01-31,Golden State Warriors,122,Houston Rockets,108
2022-01-31,Portland Trail Blazers,81,Oklahoma City Thunder,98
2021-12-01,Atlanta Hawks,114,Indiana Pacers,111
2021-12-01,Denver Nuggets,103,Orlando Magic,108
2021-12-01,Minnesota Timberwolves,107,Washington Wizards,115
2021-12-01,Philadelphia 76ers,87,Boston Celtics,88
2021-12-01,Cleveland Cavaliers,111,Miami Heat,85
2021-12-01,Charlotte Hornets,125,Milwaukee Bucks,127
2021-12-01,Dallas Mavericks,139,New Orleans Pelicans,107
2021-12-01,Houston Rockets,114,Oklahoma City Thunder,110
2021-12-01,Sacramento Kings,124,Los Angeles Clippers,115
2021-12-02,Chicago Bulls,119,New York Knicks,115
2021-12-02,Milwaukee Bucks,93,Toronto Raptors,97
2021-12-02,Oklahoma City Thunder,79,Memphis Grizzlies,152
2021-12-02,Detroit Pistons,103,Phoenix Suns,114
2021-12-02,San Antonio Spurs,114,Portland Trail Blazers,83
2021-12-03,Miami Heat,113,Indiana Pacers,104
2021-12-03,Cleveland Cavaliers,116,Washington Wizards,101
2021-12-03,Philadelphia 76ers,98,Atlanta Hawks,96
2021-12-03,Minnesota Timberwolves,105,Brooklyn Nets,110
2021-12-03,Orlando Magic,116,Houston Rockets,118
2021-12-03,New Orleans Pelicans,107,Dallas Mavericks,91
2021-12-03,Boston Celtics,130,Utah Jazz,137
2021-12-03,Phoenix Suns,96,Golden State Warriors,118
2021-12-03,Los Angeles Clippers,119,Los Angeles Lakers,115
2021-12-04,Denver Nuggets,113,New York Knicks,99
2021-12-04,Chicago Bulls,111,Brooklyn Nets,107
2021-12-04,Miami Heat,102,Milwaukee Bucks,124
2021-12-04,Memphis Grizzlies,97,Dallas Mavericks,90
2021-12-04,San Antonio Spurs,112,Golden State Warriors,107
2021-12-04,Boston Celtics,145,Portland Trail Blazers,117
2021-12-04,Los Angeles Clippers,99,Sacramento Kings,104
2021-12-05,Utah Jazz,109,Cleveland Cavaliers,108
2021-12-05,Charlotte Hornets,130,Atlanta Hawks,127
2021-12-05,Washington Wizards,90,Toronto Raptors,102
2021-12-05,New Orleans Pelicans,108,Houston Rockets,118
2021-12-06,Philadelphia 76ers,127,Charlotte Hornets,124
2021-12-06,Oklahoma City Thunder,114,Detroit Pistons,103
2021-12-06,Washington Wizards,110,Indiana Pacers,116
2021-12-06,Memphis Grizzlies,105,Miami Heat,90
2021-12-06,Denver Nuggets,97,Chicago Bulls,109
2021-12-06,Cleveland Cavaliers,104,Milwaukee Bucks,112
2021-12-06,Atlanta Hawks,121,Minnesota Timberwolves,110
2021-12-06,San Antonio Spurs,104,Phoenix Suns,108
2021-12-06,Orlando Magic,95,Golden State Warriors,126
2021-12-06,Los Angeles Clippers,102,Portland Trail Blazers,90
2021-12-07,Brooklyn Nets,102,Dallas Mavericks,99
2021-12-07,New York Knicks,121,San Antonio Spurs,109
2021-12-07,Boston Celtics,102,Los Angeles Lakers,117
2021-12-08,Philadelphia 76ers,110,Charlotte Hornets,106
2021-12-08,Chicago Bulls,92,Cleveland Cavaliers,115
2021-12-08,Washington Wizards,119,Detroit Pistons,116
2021-12-08,New York Knicks,102,Indiana Pacers,122
2021-12-08,Milwaukee Bucks,104,Miami Heat,113
2021-12-08,Oklahoma City Thunder,110,Toronto Raptors,109
2021-12-08,Brooklyn Nets,104,Houston Rockets,114
2021-12-08,Dallas Mavericks,104,Memphis Grizzlies,96
2021-12-08,Utah Jazz,136,Minnesota Timberwolves,104
2021-12-08,Denver Nuggets,120,New Orleans Pelicans,114
2021-12-08,Portland Trail Blazers,94,Golden State Warriors,104
2021-12-08,Orlando Magic,130,Sacramento Kings,142
2021-12-08,Boston Celtics,111,Los Angeles Clippers,114
2021-12-09,Utah Jazz,118,Philadelphia 76ers,96
2021-12-09,Los Angeles Lakers,95,Memphis Grizzlies,108
2021-12-09,Denver Nuggets,111,San Antonio Spurs,123
2021-12-10,Sacramento Kings,123,Charlotte Hornets,124
2021-12-10,Dallas Mavericks,93,Indiana Pacers,106
2021-12-10,Brooklyn Nets,113,Atlanta Hawks,105
2021-12-10,New York Knicks,87,Toronto Raptors,90
2021-12-10,Milwaukee Bucks,123,Houston Rockets,114
2021-12-10,Cleveland Cavaliers,123,Minnesota Timberwolves,106
2021-12-10,Detroit Pistons,93,New Orleans Pelicans,109
2021-12-10,Los Angeles Lakers,116,Oklahoma City Thunder,95
2021-12-10,Boston Celtics,90,Phoenix Suns,111
2021-12-11,Orlando Magic,104,Los Angeles Clippers,106
2021-12-11,Utah Jazz,123,Washington Wizards,98
2021-12-11,Sacramento Kings,103,Cleveland Cavaliers,117
2021-12-11,Houston Rockets,106,Memphis Grizzlies,113
2021-12-11,Chicago Bulls,92,Miami Heat,118
2021-12-11,Golden State Warriors,93,Philadelphia 76ers,102
2021-12-11,Denver Nuggets,127,San Antonio Spurs,112
2021-12-12,Milwaukee Bucks,112,New York Knicks,97
2021-12-12,Brooklyn Nets,116,Detroit Pistons,104
2021-12-12,Dallas Mavericks,103,Oklahoma City Thunder,84
2021-12-12,New Orleans Pelicans,97,San Antonio Spurs,112
2021-12-12,Minnesota Timberwolves,116,Portland Trail Blazers,111
2021-12-12,Orlando Magic,94,Los Angeles Lakers,106
2021-12-13,Miami Heat,94,Cleveland Cavaliers,105
2021-12-13,Golden State Warriors,102,Indiana Pacers,100
2021-12-13,Sacramento Kings,101,Toronto Raptors,124
2021-12-13,Houston Rockets,132,Atlanta Hawks,126
2021-12-13,Milwaukee Bucks,103,Boston Celtics,117
2021-12-13,Philadelphia 76ers,91,Memphis Grizzlies,126
2021-12-13,Charlotte Hornets,96,Dallas Mavericks,120
2021-12-13,Washington Wizards,107,Denver Nuggets,113
2021-12-13,Phoenix Suns,95,Los Angeles Clippers,111
2021-12-14,Toronto Raptors,129,Brooklyn Nets,131
2021-12-14,Golden State Warriors,105,New York Knicks,96
2021-12-14,Phoenix Suns,111,Portland Trail Blazers,107
2021-12-15,Houston Rockets,89,Cleveland Cavaliers,124
2021-12-15,Atlanta Hawks,111,Orlando Magic,99
2021-12-15,Miami Heat,101,Philadelphia 76ers,96
2021-12-15,Los Angeles Lakers,107,Dallas Mavericks,104
2021-12-15,Indiana Pacers,99,Milwaukee Bucks,114
2021-12-15,New Orleans Pelicans,113,Oklahoma City Thunder,110
2021-12-15,Charlotte Hornets,131,San Antonio Spurs,115
2021-12-15,Minnesota Timberwolves,124,Denver Nuggets,107
2021-12-15,Memphis Grizzlies,113,Portland Trail Blazers,103
2021-12-15,Washington Wizards,105,Sacramento Kings,119
2021-12-15,Los Angeles Clippers,103,Utah Jazz,124
2021-12-16,Detroit Pistons,113,Indiana Pacers,122
2021-12-16,Philadelphia 76ers,105,Brooklyn Nets,114
2021-12-16,New York Knicks,116,Houston Rockets,103
2021-12-16,Washington Wizards,98,Phoenix Suns,118
2021-12-17,Miami Heat,115,Orlando Magic,105
2021-12-17,Denver Nuggets,133,Atlanta Hawks,115
2021-12-17,Golden State Warriors,111,Boston Celtics,107
2021-12-17,Milwaukee Bucks,112,New Orleans Pelicans,116
2021-12-17,San Antonio Spurs,128,Utah Jazz,126
2021-12-17,Los Angeles Lakers,92,Minnesota Timberwolves,110
2021-12-17,Charlotte Hornets,116,Portland Trail Blazers,125
2021-12-17,Memphis Grizzlies,124,Sacramento Kings,105
2021-12-18,Houston Rockets,116,Detroit Pistons,107
2021-12-18,New York Knicks,107,Boston Celtics,114
2021-12-18,Orlando Magic,100,Brooklyn Nets,93
2021-12-18,Golden State Warriors,100,Toronto Raptors,119
2021-12-18,Los Angeles Clippers,103,Oklahoma City Thunder,104
2021-12-18,Cleveland Cavaliers,119,Milwaukee Bucks,90
2021-12-18,Washington Wizards,109,Utah Jazz,103
2021-12-19,Miami Heat,90,Detroit Pistons,100
2021-12-19,Portland Trail Blazers,105,Memphis Grizzlies,100
2021-12-19,San Antonio Spurs,114,Sacramento Kings,121
2021-12-19,Los Angeles Lakers,110,Chicago Bulls,115
2021-12-19,Dallas Mavericks,105,Minnesota Timberwolves,111
2021-12-19,Charlotte Hornets,106,Phoenix Suns,137
2021-12-20,Philadelphia 76ers,108,Boston Celtics,103
2021-12-20,Houston Rockets,118,Chicago Bulls,133
2021-12-20,Oklahoma City Thunder,102,Memphis Grizzlies,99
2021-12-20,Charlotte Hornets,102,Utah Jazz,112
2021-12-20,Sacramento Kings,98,Golden State Warriors,113
2021-12-20,San Antonio Spurs,116,Los Angeles Clippers,92
2021-12-21,Indiana Pacers,96,Miami Heat,125
2021-12-21,Detroit Pistons,91,New York Knicks,105
2021-12-21,Portland Trail Blazers,97,New Orleans Pelicans,111
2021-12-21,Minnesota Timberwolves,102,Dallas Mavericks,114
2021-12-21,Phoenix Suns,108,Los Angeles Lakers,90
2021-12-22,Orlando Magic,104,Atlanta Hawks,98
2021-12-22,Cleveland Cavaliers,101,Boston Celtics,111
2021-12-22,Houston Rockets,106,Milwaukee Bucks,126
2021-12-22,Denver Nuggets,94,Oklahoma City Thunder,108
2021-12-22,Los Angeles Clippers,105,Sacramento Kings,89
2021-12-23,Houston Rockets,106,Indiana Pacers,118
2021-12-23,New Orleans Pelicans,110,Orlando Magic,104
2021-12-23,Atlanta Hawks,98,Philadelphia 76ers,96
2021-12-23,Detroit Pistons,112,Miami Heat,115
2021-12-23,Washington Wizards,124,New York Knicks,117
2021-12-23,Milwaukee Bucks,102,Dallas Mavericks,95
2021-12-23,Charlotte Hornets,115,Denver Nuggets,107
2021-12-23,Oklahoma City Thunder,101,Phoenix Suns,113
2021-12-23,Minnesota Timberwolves,116,Utah Jazz,128
2021-12-23,Memphis Grizzlies,104,Golden State Warriors,113
2021-12-23,San Antonio Spurs,138,Los Angeles Lakers,110
2021-12-25,Atlanta Hawks,87,New York Knicks,101
2021-12-25,Boston Celtics,113,Milwaukee Bucks,117
2021-12-25,Golden State Warriors,116,Phoenix Suns,107
2021-12-25,Brooklyn Nets,122,Los Angeles Lakers,115
2021-12-25,Dallas Mavericks,116,Utah Jazz,120
2021-12-26,Orlando Magic,83,Miami Heat,93
2021-12-26,Toronto Raptors,99,Cleveland Cavaliers,144
2021-12-26,Memphis Grizzlies,127,Sacramento Kings,102
2021-12-26,Philadelphia 76ers,117,Washington Wizards,96
2021-12-26,New Orleans Pelicans,112,Oklahoma City Thunder,117
2021-12-26,Detroit Pistons,109,San Antonio Spurs,144
2021-12-26,Indiana Pacers,105,Chicago Bulls,113
2021-12-26,Denver Nuggets,103,Los Angeles Clippers,100
2021-12-27,Houston Rockets,99,Charlotte Hornets,123
2021-12-27,Chicago Bulls,130,Atlanta Hawks,118
2021-12-27,Boston Celtics,103,Minnesota Timberwolves,108
2021-12-27,Utah Jazz,110,San Antonio Spurs,104
2021-12-27,Memphis Grizzlies,114,Phoenix Suns,113
2021-12-27,Dallas Mavericks,132,Portland Trail Blazers,117
2021-12-27,Brooklyn Nets,124,Los Angeles Clippers,108
2021-12-28,Milwaukee Bucks,127,Orlando Magic,110
2021-12-28,Washington Wizards,112,Miami Heat,119
2021-12-28,Philadelphia 76ers,114,Toronto Raptors,109
2021-12-28,Los Angeles Lakers,132,Houston Rockets,123
2021-12-28,New York Knicks,96,Minnesota Timberwolves,88
2021-12-28,Cleveland Cavaliers,104,New Orleans Pelicans,108
2021-12-28,Denver Nuggets,89,Golden State Warriors,86
2021-12-28,Oklahoma City Thunder,111,Sacramento Kings,117
2021-12-29,New York Knicks,94,Detroit Pistons,85
2021-12-29,Charlotte Hornets,116,Indiana Pacers,108
2021-12-29,Los Angeles Clippers,91,Boston Celtics,82
2021-12-29,Atlanta Hawks,117,Chicago Bulls,131
2021-12-29,Los Angeles Lakers,99,Memphis Grizzlies,104
2021-12-29,Oklahoma City Thunder,97,Phoenix Suns,115
2021-12-29,Utah Jazz,120,Portland Trail Blazers,105
2021-12-29,Dallas Mavericks,94,Sacramento Kings,95
2021-12-30,Philadelphia 76ers,110,Brooklyn Nets,102
2021-12-30,Milwaukee Bucks,136,Orlando Magic,118
2021-12-30,Cleveland Cavaliers,93,Washington Wizards,110
2021-12-31,Phoenix Suns,108,Boston Celtics,123
2021-12-31,Chicago Bulls,108,Indiana Pacers,106
2021-12-31,Dallas Mavericks,112,Sacramento Kings,96
2021-12-31,Miami Heat,120,Houston Rockets,110
2021-12-31,Atlanta Hawks,121,Cleveland Cavaliers,118
2021-12-31,Los Angeles Clippers,108,Toronto Raptors,116
2021-12-31,San Antonio Spurs,105,Memphis Grizzlies,118
2021-12-31,New York Knicks,80,Oklahoma City Thunder,95
2021-12-31,Minnesota Timberwolves,108,Utah Jazz,120
2021-12-31,Portland Trail Blazers,106,Los Angeles Lakers,139
2021-11-01,Cleveland Cavaliers,113,Charlotte Hornets,110
2021-11-01,San Antonio Spurs,118,Indiana Pacers,131
2021-11-01,Portland Trail Blazers,103,Philadelphia 76ers,113
2021-11-01,Washington Wizards,111,Atlanta Hawks,118
2021-11-01,Chicago Bulls,128,Boston Celtics,114
2021-11-01,Toronto Raptors,113,New York Knicks,104
2021-11-01,Denver Nuggets,97,Memphis Grizzlies,106
2021-11-01,Orlando Magic,115,Minnesota Timberwolves,97
2021-11-01,Oklahoma City Thunder,94,Los Angeles Clippers,99
2021-11-02,Milwaukee Bucks,117,Detroit Pistons,89
2021-11-02,Miami Heat,125,Dallas Mavericks,110
2021-11-02,Sacramento Kings,113,Utah Jazz,119
2021-11-02,New Orleans Pelicans,100,Phoenix Suns,112
2021-11-02,Houston Rockets,117,Los Angeles Lakers,119
2021-11-03,Portland Trail Blazers,104,Cleveland Cavaliers,107
2021-11-03,New York Knicks,98,Indiana Pacers,111
2021-11-03,Boston Celtics,92,Orlando Magic,79
2021-11-03,Chicago Bulls,98,Philadelphia 76ers,103
2021-11-03,Toronto Raptors,109,Washington Wizards,100
2021-11-03,Atlanta Hawks,108,Brooklyn Nets,117
2021-11-03,Denver Nuggets,106,Memphis Grizzlies,108
2021-11-03,Los Angeles Clippers,126,Minnesota Timberwolves,115
2021-11-03,Dallas Mavericks,109,San Antonio Spurs,108
2021-11-03,Charlotte Hornets,92,Golden State Warriors,114
2021-11-03,New Orleans Pelicans,99,Sacramento Kings,112
2021-11-04,Philadelphia 76ers,109,Detroit Pistons,98
2021-11-04,Utah Jazz,116,Atlanta Hawks,98
2021-11-04,Boston Celtics,95,Miami Heat,78
2021-11-04,Houston Rockets,111,Phoenix Suns,123
2021-11-04,Oklahoma City Thunder,107,Los Angeles Lakers,104
2021-11-05,Brooklyn Nets,96,Detroit Pistons,90
2021-11-05,San Antonio Spurs,102,Orlando Magic,89
2021-11-05,Memphis Grizzlies,87,Washington Wizards,115
2021-11-05,New York Knicks,113,Milwaukee Bucks,98
2021-11-05,Cleveland Cavaliers,102,Toronto Raptors,101
2021-11-05,Los Angeles Clippers,104,Minnesota Timberwolves,84
2021-11-05,New Orleans Pelicans,85,Golden State Warriors,126
2021-11-05,Indiana Pacers,106,Portland Trail Blazers,110
2021-11-05,Charlotte Hornets,110,Sacramento Kings,140
2021-11-06,Houston Rockets,94,Denver Nuggets,95
2021-11-06,Utah Jazz,115,Miami Heat,118
2021-11-06,Philadelphia 76ers,114,Chicago Bulls,105
2021-11-06,Boston Celtics,104,Dallas Mavericks,107
2021-11-06,Atlanta Hawks,117,Phoenix Suns,121
2021-11-06,Los Angeles Lakers,90,Portland Trail Blazers,105
2021-11-07,Brooklyn Nets,116,Toronto Raptors,103
2021-11-07,Cleveland Cavaliers,126,New York Knicks,109
2021-11-07,Utah Jazz,100,Orlando Magic,107
2021-11-07,Indiana Pacers,94,Sacramento Kings,91
2021-11-07,Milwaukee Bucks,94,Washington Wizards,101
2021-11-07,San Antonio Spurs,94,Oklahoma City Thunder,99
2021-11-07,Houston Rockets,107,Golden State Warriors,120
2021-11-07,Charlotte Hornets,106,Los Angeles Clippers,120
2021-11-08,New York Knicks,103,Philadelphia 76ers,96
2021-11-08,Brooklyn Nets,95,Chicago Bulls,118
2021-11-08,Minnesota Timberwolves,118,Memphis Grizzlies,125
2021-11-08,New Orleans Pelicans,92,Dallas Mavericks,108
2021-11-08,Miami Heat,96,Denver Nuggets,113
2021-11-08,Atlanta Hawks,113,Golden State Warriors,127
2021-11-08,Phoenix Suns,109,Sacramento Kings,104
2021-11-08,Charlotte Hornets,123,Los Angeles Lakers,126
2021-11-09,Milwaukee Bucks,118,Philadelphia 76ers,109
2021-11-09,Atlanta Hawks,98,Utah Jazz,110
2021-11-09,Portland Trail Blazers,109,Los Angeles Clippers,117
2021-11-10,Washington Wizards,97,Cleveland Cavaliers,94
2021-11-10,Brooklyn Nets,123,Orlando Magic,90
2021-11-10,Toronto Raptors,88,Boston Celtics,104
2021-11-10,Detroit Pistons,112,Houston Rockets,104
2021-11-10,Milwaukee Bucks,112,New York Knicks,100
2021-11-10,Dallas Mavericks,107,Chicago Bulls,117
2021-11-10,Charlotte Hornets,118,Memphis Grizzlies,108
2021-11-10,Oklahoma City Thunder,108,New Orleans Pelicans,100
2021-11-10,Sacramento Kings,117,San Antonio Spurs,136
2021-11-10,Indiana Pacers,98,Denver Nuggets,101
2021-11-10,Portland Trail Blazers,109,Phoenix Suns,119
2021-11-10,Minnesota Timberwolves,110,Golden State Warriors,123
2021-11-10,Miami Heat,117,Los Angeles Lakers,120
2021-11-11,Toronto Raptors,115,Philadelphia 76ers,109
2021-11-11,Indiana Pacers,111,Utah Jazz,100
2021-11-11,Miami Heat,109,Los Angeles Clippers,112
2021-11-12,New York Knicks,96,Charlotte Hornets,104
2021-11-12,Milwaukee Bucks,113,Boston Celtics,122
2021-11-12,Detroit Pistons,78,Cleveland Cavaliers,98
2021-11-12,Portland Trail Blazers,104,Houston Rockets,92
2021-11-12,Phoenix Suns,119,Memphis Grizzlies,94
2021-11-12,Brooklyn Nets,120,New Orleans Pelicans,112
2021-11-12,Sacramento Kings,103,Oklahoma City Thunder,105
2021-11-12,Dallas Mavericks,123,San Antonio Spurs,109
2021-11-12,Atlanta Hawks,96,Denver Nuggets,105
2021-11-12,Chicago Bulls,93,Golden State Warriors,119
2021-11-12,Minnesota Timberwolves,107,Los Angeles Lakers,83
2021-11-13,Miami Heat,111,Utah Jazz,105
2021-11-13,Philadelphia 76ers,113,Indiana Pacers,118
2021-11-13,Memphis Grizzlies,101,New Orleans Pelicans,112
2021-11-13,Washington Wizards,104,Orlando Magic,92
2021-11-13,Detroit Pistons,127,Toronto Raptors,121
2021-11-13,Boston Celtics,89,Cleveland Cavaliers,91
2021-11-13,Minnesota Timberwolves,102,Los Angeles Clippers,129
2021-11-14,San Antonio Spurs,106,Los Angeles Lakers,114
2021-11-14,Milwaukee Bucks,100,Atlanta Hawks,120
2021-11-14,Golden State Warriors,102,Charlotte Hornets,106
2021-11-14,Phoenix Suns,115,Houston Rockets,89
2021-11-14,Brooklyn Nets,120,Oklahoma City Thunder,96
2021-11-14,Portland Trail Blazers,95,Denver Nuggets,124
2021-11-14,Chicago Bulls,100,Los Angeles Clippers,90
2021-11-15,Boston Celtics,98,Cleveland Cavaliers,92
2021-11-15,Sacramento Kings,129,Detroit Pistons,107
2021-11-15,New Orleans Pelicans,100,Washington Wizards,105
2021-11-15,Orlando Magic,111,Atlanta Hawks,129
2021-11-15,Indiana Pacers,84,New York Knicks,92
2021-11-15,Denver Nuggets,101,Dallas Mavericks,111
2021-11-15,Houston Rockets,102,Memphis Grizzlies,136
2021-11-15,Phoenix Suns,99,Minnesota Timberwolves,96
2021-11-15,Miami Heat,103,Oklahoma City Thunder,90
2021-11-15,Toronto Raptors,113,Portland Trail Blazers,118
2021-11-15,Chicago Bulls,121,Los Angeles Lakers,103
2021-11-16,Golden State Warriors,117,Brooklyn Nets,99
2021-11-16,Philadelphia 76ers,85,Utah Jazz,120
2021-11-16,San Antonio Spurs,92,Los Angeles Clippers,106
2021-11-17,Washington Wizards,87,Charlotte Hornets,97
2021-11-17,Indiana Pacers,89,Detroit Pistons,97
2021-11-17,Boston Celtics,99,Atlanta Hawks,110
2021-11-17,Cleveland Cavaliers,99,Brooklyn Nets,109
2021-11-17,New Orleans Pelicans,98,Miami Heat,113
2021-11-17,Los Angeles Lakers,102,Milwaukee Bucks,109
2021-11-17,Orlando Magic,104,New York Knicks,98
2021-11-17,Sacramento Kings,97,Minnesota Timberwolves,107
2021-11-17,Houston Rockets,89,Oklahoma City Thunder,101
2021-11-17,Dallas Mavericks,98,Phoenix Suns,105
2021-11-17,Chicago Bulls,107,Portland Trail Blazers,112
2021-11-18,Golden State Warriors,104,Cleveland Cavaliers,89
2021-11-18,Washington Wizards,97,Miami Heat,112
2021-11-18,Los Angeles Clippers,108,Memphis Grizzlies,120
2021-11-18,San Antonio Spurs,90,Minnesota Timberwolves,115
2021-11-18,Philadelphia 76ers,103,Denver Nuggets,89
2021-11-18,Toronto Raptors,103,Utah Jazz,119
2021-11-19,Indiana Pacers,118,Charlotte Hornets,121
2021-11-19,Golden State Warriors,105,Detroit Pistons,102
2021-11-19,Los Angeles Lakers,108,Boston Celtics,130
2021-11-19,Orlando Magic,113,Brooklyn Nets,115
2021-11-19,Oklahoma City Thunder,89,Milwaukee Bucks,96
2021-11-19,Los Angeles Clippers,81,New Orleans Pelicans,94
2021-11-19,Chicago Bulls,114,Denver Nuggets,108
2021-11-19,Dallas Mavericks,104,Phoenix Suns,112
2021-11-19,Toronto Raptors,108,Sacramento Kings,89
2021-11-20,Houston Rockets,99,New York Knicks,106
2021-11-20,New Orleans Pelicans,94,Indiana Pacers,111
2021-11-20,Miami Heat,100,Washington Wizards,103
2021-11-20,Charlotte Hornets,105,Atlanta Hawks,115
2021-11-20,Oklahoma City Thunder,105,Boston Celtics,111
2021-11-20,Orlando Magic,108,Milwaukee Bucks,117
2021-11-20,Memphis Grizzlies,95,Minnesota Timberwolves,138
2021-11-20,Philadelphia 76ers,111,Portland Trail Blazers,118
2021-11-20,Utah Jazz,123,Sacramento Kings,105
2021-11-21,Dallas Mavericks,91,Los Angeles Clippers,97
2021-11-21,Los Angeles Lakers,121,Detroit Pistons,116
2021-11-21,New York Knicks,103,Chicago Bulls,109
2021-11-21,Denver Nuggets,97,Phoenix Suns,126
2021-11-21,Toronto Raptors,104,Golden State Warriors,119
2021-11-22,Brooklyn Nets,117,Cleveland Cavaliers,112
2021-11-22,Charlotte Hornets,109,Washington Wizards,103
2021-11-22,Oklahoma City Thunder,101,Atlanta Hawks,113
2021-11-22,Houston Rockets,90,Boston Celtics,108
2021-11-22,Indiana Pacers,109,Chicago Bulls,77
2021-11-22,Orlando Magic,92,Milwaukee Bucks,123
2021-11-22,Minnesota Timberwolves,110,New Orleans Pelicans,96
2021-11-22,Phoenix Suns,115,San Antonio Spurs,111
2021-11-22,Memphis Grizzlies,119,Utah Jazz,118
2021-11-22,Philadelphia 76ers,102,Sacramento Kings,94
2021-11-23,Miami Heat,100,Detroit Pistons,92
2021-11-23,Los Angeles Lakers,100,New York Knicks,106
2021-11-23,Denver Nuggets,100,Portland Trail Blazers,119
2021-11-23,Dallas Mavericks,112,Los Angeles Clippers,104
2021-11-24,Phoenix Suns,120,Cleveland Cavaliers,115
2021-11-24,Los Angeles Lakers,124,Indiana Pacers,116
2021-11-24,Charlotte Hornets,106,Orlando Magic,99
2021-11-24,Brooklyn Nets,123,Boston Celtics,104
2021-11-24,Chicago Bulls,113,Houston Rockets,118
2021-11-24,Toronto Raptors,126,Memphis Grizzlies,113
2021-11-24,Detroit Pistons,93,Milwaukee Bucks,114
2021-11-24,Miami Heat,101,Minnesota Timberwolves,113
2021-11-24,Washington Wizards,102,New Orleans Pelicans,127
2021-11-24,Utah Jazz,110,Oklahoma City Thunder,104
2021-11-24,Atlanta Hawks,124,San Antonio Spurs,106
2021-11-24,Philadelphia 76ers,96,Golden State Warriors,116
2021-11-24,Portland Trail Blazers,121,Sacramento Kings,125
2021-11-26,Detroit Pistons,96,Los Angeles Clippers,107
2021-11-26,Minnesota Timberwolves,115,Charlotte Hornets,133
2021-11-26,Phoenix Suns,118,New York Knicks,97
2021-11-26,Chicago Bulls,123,Orlando Magic,88
2021-11-26,Toronto Raptors,97,Indiana Pacers,114
2021-11-26,Atlanta Hawks,132,Memphis Grizzlies,100
2021-11-26,Washington Wizards,101,Oklahoma City Thunder,99
2021-11-26,Boston Celtics,88,San Antonio Spurs,96
2021-11-26,Milwaukee Bucks,120,Denver Nuggets,109
2021-11-26,New Orleans Pelicans,98,Utah Jazz,97
2021-11-26,Portland Trail Blazers,103,Golden State Warriors,118
2021-11-26,Sacramento Kings,141,Los Angeles Lakers,137
2021-11-27,Minnesota Timberwolves,121,Philadelphia 76ers,120
2021-11-27,New York Knicks,99,Atlanta Hawks,90
2021-11-27,Phoenix Suns,113,Brooklyn Nets,107
2021-11-27,Miami Heat,107,Chicago Bulls,104
2021-11-27,Orlando Magic,92,Cleveland Cavaliers,105
2021-11-27,Charlotte Hornets,143,Houston Rockets,146
2021-11-27,Washington Wizards,120,Dallas Mavericks,114
2021-11-27,New Orleans Pelicans,105,Utah Jazz,127
2021-11-28,Golden State Warriors,105,Los Angeles Clippers,90
2021-11-28,Milwaukee Bucks,118,Indiana Pacers,100
2021-11-28,Sacramento Kings,101,Memphis Grizzlies,128
2021-11-28,Boston Celtics,109,Toronto Raptors,97
2021-11-28,Detroit Pistons,106,Los Angeles Lakers,110
2021-11-29,Orlando Magic,96,Philadelphia 76ers,101
2021-11-29,Denver Nuggets,120,Miami Heat,111
2021-11-29,Charlotte Hornets,119,Chicago Bulls,133
2021-11-29,Oklahoma City Thunder,89,Houston Rockets,102
2021-11-29,Indiana Pacers,98,Minnesota Timberwolves,100
2021-11-29,Cleveland Cavaliers,114,Dallas Mavericks,96
2021-11-29,Washington Wizards,99,San Antonio Spurs,116
2021-11-29,Portland Trail Blazers,107,Utah Jazz,129
2021-11-29,New Orleans Pelicans,123,Los Angeles Clippers,104
2021-11-30,New York Knicks,110,Brooklyn Nets,112
2021-11-30,Memphis Grizzlies,98,Toronto Raptors,91
2021-11-30,Golden State Warriors,96,Phoenix Suns,104
2021-11-30,Detroit Pistons,92,Portland Trail Blazers,110
2021-11-30,Los Angeles Lakers,117,Sacramento Kings,92
